id,favorite.sea
699,Black Sea
0,Gulf of Mexico
473,Andaman Sea
197,Banda Sea
262,Arabian Sea
213,East China Sea
418,Sulu Sea
895,Philippine Sea
849,Gulf of St Lawrence
676,Adriatic Sea
530,Mediterranean Sea
310,Adriatic Sea
803,Banda Sea
395,Andaman Sea
196,Coral Sea
235,Gulf of Alaska
318,Sulu Sea
967,Black Sea
731,Mediterranean Sea
280,Norwegian Sea
866,East China Sea
507,Java Sea
447,Sulu Sea
775,Norwegian Sea
794,Chilean Sea
891,Sea of Japan
910,Sulu Sea
674,Baltic Sea
183,Greenland Sea
745,Gulf of Mexico
191,Norwegian Sea
784,Mediterranean Sea
329,Java Sea
801,Sea of Japan
919,Mediterranean Sea
914,Gulf of St Lawrence
316,Southern Ocean
617,Ryukyu Sea
863,Barents Sea
828,Labrador Sea
728,Coral Sea
854,Greenland Sea
61,Baltic Sea
435,Sea of Japan
146,Adriatic Sea
920,Arabian Sea
524,Greenland Sea
248,Ligurian Sea
91,Celebes Sea
341,Mediterranean Sea
785,Arabian Sea
309,Caspian Sea
441,Gulf of Alaska
792,Ligurian Sea
907,Red Sea
996,Baltic Sea
274,Sulu Sea
582,Norwegian Sea
452,Arabian Sea
344,Greenland Sea
712,Philippine Sea
113,Gulf of Mexico
505,Baltic Sea
908,Adriatic Sea
893,Red Sea
449,Aegean Sea
766,Bering Sea
446,Baltic Sea
450,Tyrrhenian Sea
39,Baltic Sea
425,Red Sea
640,Banda Sea
916,Mediterranean Sea
958,East China Sea
372,Andaman Sea
36,Adriatic Sea
692,Gulf of St Lawrence
462,Norwegian Sea
126,Adriatic Sea
259,Yellow Sea
938,Chilean Sea
698,Red Sea
886,Labrador Sea
805,Sea of Japan
598,Gulf of St Lawrence
852,Adriatic Sea
645,Philippine Sea
882,Arabian Sea
510,Sea of Japan
668,Greenland Sea
357,Mediterranean Sea
738,Celebes Sea
480,Sulu Sea
375,Southern Ocean
799,Gulf of Mexico
499,Sea of Japan
148,Bering Sea
761,Southern Ocean
368,South China Sea
876,Arabian Sea
64,Bering Sea
52,Yellow Sea
104,South China Sea
180,Red Sea
108,Norwegian Sea
843,Tyrrhenian Sea
618,Arabian Sea
354,Celebes Sea
358,Banda Sea
892,East China Sea
927,Labrador Sea
463,East China Sea
963,Philippine Sea
551,Sulu Sea
871,Sea of Japan
476,Baltic Sea
189,Tyrrhenian Sea
935,Sulu Sea
842,Barents Sea
739,Ligurian Sea
469,Aegean Sea
114,Yellow Sea
383,Aegean Sea
175,Black Sea
751,Chilean Sea
848,Baltic Sea
20,Andaman Sea
626,Bering Sea
396,Baltic Sea
576,Labrador Sea
278,Adriatic Sea
305,Bering Sea
211,East China Sea
546,Arabian Sea
140,Mediterranean Sea
900,Aegean Sea
926,East China Sea
903,Sulu Sea
272,Ligurian Sea
403,Mediterranean Sea
781,Norwegian Sea
176,Mediterranean Sea
931,Southern Ocean
513,Adriatic Sea
333,Labrador Sea
3,Chilean Sea
275,Philippine Sea
779,Andaman Sea
351,Tyrrhenian Sea
807,East China Sea
392,Gulf of Alaska
540,Adriatic Sea
721,Andaman Sea
497,Sulu Sea
362,Caribbean Sea
255,Philippine Sea
802,Labrador Sea
561,Labrador Sea
709,Tyrrhenian Sea
200,Baltic Sea
98,Aegean Sea
748,Chilean Sea
839,Aegean Sea
896,Banda Sea
71,Baltic Sea
378,Black Sea
27,Tasman Sea
254,Ryukyu Sea
244,Arabian Sea
221,Aegean Sea
166,Aegean Sea
374,East China Sea
533,Tasman Sea
242,Chilean Sea
250,Adriatic Sea
757,Southern Ocean
218,Java Sea
85,Adriatic Sea
612,Adriatic Sea
459,Norwegian Sea
975,Mediterranean Sea
475,Southern Ocean
695,Banda Sea
217,Gulf of St Lawrence
788,Yellow Sea
295,Sulu Sea
962,Banda Sea
325,Black Sea
694,Greenland Sea
465,Gulf of Mexico
101,East China Sea
107,Sea of Japan
817,South China Sea
818,Mediterranean Sea
641,Andaman Sea
643,East China Sea
717,Ryukyu Sea
319,Aegean Sea
282,Andaman Sea
136,Java Sea
115,East China Sea
638,Tasman Sea
954,Adriatic Sea
590,Gulf of Alaska
934,Adriatic Sea
83,Tyrrhenian Sea
906,Labrador Sea
599,Caribbean Sea
13,Southern Ocean
76,Southern Ocean
525,Celebes Sea
125,Caspian Sea
173,Tyrrhenian Sea
869,Sea of Japan
327,Sulu Sea
767,Java Sea
983,Tasman Sea
774,Bering Sea
829,Philippine Sea
454,Baltic Sea
128,Yellow Sea
494,Baltic Sea
581,Baltic Sea
62,Tasman Sea
623,Baltic Sea
317,Tasman Sea
370,Red Sea
664,Coral Sea
321,Mediterranean Sea
989,South China Sea
597,Arabian Sea
363,Aegean Sea
40,Celebes Sea
169,Labrador Sea
312,Adriatic Sea
79,Caribbean Sea
103,Black Sea
167,Ryukyu Sea
413,Baltic Sea
657,Ryukyu Sea
966,Adriatic Sea
187,Caribbean Sea
256,Southern Ocean
552,Yellow Sea
570,Sulu Sea
240,Gulf of St Lawrence
764,Tasman Sea
391,Norwegian Sea
682,Black Sea
426,Red Sea
330,Red Sea
209,Ligurian Sea
915,Tasman Sea
519,Chilean Sea
763,Barents Sea
681,Yellow Sea
75,Baltic Sea
637,Java Sea
277,Norwegian Sea
359,Baltic Sea
381,Southern Ocean
168,Norwegian Sea
160,Barents Sea
303,Coral Sea
122,Caspian Sea
793,Celebes Sea
586,Tasman Sea
602,Aegean Sea
233,Caspian Sea
838,East China Sea
786,Aegean Sea
253,Ryukyu Sea
24,Sulu Sea
58,Adriatic Sea
455,Celebes Sea
670,Labrador Sea
904,Gulf of Alaska
477,Ligurian Sea
241,Caspian Sea
112,Sulu Sea
47,Barents Sea
899,South China Sea
437,Black Sea
198,Ryukyu Sea
236,Barents Sea
43,Baltic Sea
491,Gulf of St Lawrence
340,Gulf of St Lawrence
99,Java Sea
478,Sulu Sea
457,Gulf of Mexico
155,East China Sea
181,Caspian Sea
408,Greenland Sea
153,Caspian Sea
528,Greenland Sea
32,Gulf of Mexico
543,Ligurian Sea
560,Philippine Sea
976,Yellow Sea
875,Black Sea
633,Aegean Sea
228,Coral Sea
53,Adriatic Sea
495,Yellow Sea
872,Gulf of Mexico
667,Tasman Sea
346,Yellow Sea
12,Caribbean Sea
956,Gulf of St Lawrence
80,Caribbean Sea
589,Celebes Sea
268,Black Sea
442,Bering Sea
981,Adriatic Sea
19,Java Sea
206,Sulu Sea
402,Chilean Sea
970,Sea of Japan
127,Adriatic Sea
846,Ligurian Sea
417,Norwegian Sea
831,Gulf of Mexico
37,Norwegian Sea
653,Norwegian Sea
587,Greenland Sea
734,Tyrrhenian Sea
514,Black Sea
789,Norwegian Sea
656,Arabian Sea
371,Celebes Sea
913,Chilean Sea
219,Ryukyu Sea
387,Labrador Sea
600,Sulu Sea
833,Andaman Sea
822,Philippine Sea
49,Tyrrhenian Sea
870,Caribbean Sea
300,Bering Sea
841,Baltic Sea
468,Norwegian Sea
415,Labrador Sea
179,Red Sea
521,Banda Sea
588,Norwegian Sea
150,Chilean Sea
769,South China Sea
433,Southern Ocean
522,Celebes Sea
345,Aegean Sea
267,Norwegian Sea
118,Black Sea
609,Gulf of St Lawrence
835,Baltic Sea
765,Caspian Sea
735,Labrador Sea
744,Aegean Sea
615,Bering Sea
703,Arabian Sea
937,Baltic Sea
137,Gulf of Alaska
141,Tyrrhenian Sea
993,Norwegian Sea
503,Norwegian Sea
851,Chilean Sea
78,Caribbean Sea
791,Ligurian Sea
388,Arabian Sea
488,Arabian Sea
782,Mediterranean Sea
322,East China Sea
917,Tasman Sea
421,Tyrrhenian Sea
427,Barents Sea
496,Southern Ocean
110,Banda Sea
48,Ligurian Sea
237,Gulf of Mexico
855,South China Sea
390,Norwegian Sea
506,South China Sea
294,Gulf of St Lawrence
977,Tasman Sea
320,Tasman Sea
578,Tasman Sea
671,Caribbean Sea
526,Sea of Japan
773,Norwegian Sea
755,Java Sea
130,Andaman Sea
144,Ryukyu Sea
812,Barents Sea
658,Ryukyu Sea
858,East China Sea
754,Philippine Sea
724,Norwegian Sea
758,Sea of Japan
149,Celebes Sea
630,Philippine Sea
867,Andaman Sea
826,Sulu Sea
945,Andaman Sea
737,Labrador Sea
810,East China Sea
940,Java Sea
123,Black Sea
555,Sulu Sea
81,Mediterranean Sea
948,Celebes Sea
192,Sulu Sea
622,South China Sea
409,Yellow Sea
202,Caspian Sea
693,Aegean Sea
909,Aegean Sea
947,Red Sea
714,Bering Sea
349,Bering Sea
401,South China Sea
613,Black Sea
659,Ryukyu Sea
814,Philippine Sea
730,Sea of Japan
654,Caribbean Sea
369,Java Sea
361,Aegean Sea
687,Andaman Sea
652,Gulf of Mexico
276,Chilean Sea
936,Caribbean Sea
790,Sea of Japan
577,Bering Sea
152,Southern Ocean
360,Labrador Sea
575,Sulu Sea
9,Labrador Sea
939,Arabian Sea
26,Norwegian Sea
286,Baltic Sea
95,Arabian Sea
772,Southern Ocean
639,Aegean Sea
230,Aegean Sea
930,Labrador Sea
778,Ryukyu Sea
335,Celebes Sea
154,Norwegian Sea
847,Coral Sea
109,Ligurian Sea
541,Gulf of Alaska
567,Tyrrhenian Sea
632,Arabian Sea
143,Mediterranean Sea
837,Andaman Sea
874,Southern Ocean
515,Coral Sea
405,Ligurian Sea
749,South China Sea
713,Mediterranean Sea
865,Chilean Sea
928,Philippine Sea
649,Coral Sea
660,Red Sea
205,Baltic Sea
68,Gulf of St Lawrence
74,Andaman Sea
733,Gulf of St Lawrence
416,Norwegian Sea
663,Chilean Sea
921,Caspian Sea
527,Yellow Sea
373,Philippine Sea
404,Baltic Sea
529,Yellow Sea
593,Ryukyu Sea
483,Mediterranean Sea
957,Gulf of Mexico
585,Gulf of Mexico
161,Gulf of St Lawrence
139,Celebes Sea
951,Yellow Sea
223,Arabian Sea
830,Ryukyu Sea
538,Philippine Sea
710,Labrador Sea
246,Labrador Sea
484,East China Sea
942,Yellow Sea
887,Sea of Japan
859,Caribbean Sea
212,Caspian Sea
634,Gulf of St Lawrence
797,Black Sea
406,Adriatic Sea
611,Caspian Sea
273,Ligurian Sea
553,Chilean Sea
619,Philippine Sea
571,East China Sea
57,Ligurian Sea
880,Sulu Sea
1,Caspian Sea
994,Gulf of Mexico
70,Yellow Sea
412,Greenland Sea
811,Yellow Sea
199,Andaman Sea
960,Red Sea
806,Java Sea
131,Caspian Sea
8,Norwegian Sea
987,Adriatic Sea
227,Gulf of Mexico
539,Red Sea
97,Gulf of Mexico
520,Arabian Sea
787,Ryukyu Sea
482,Ligurian Sea
214,Norwegian Sea
252,Norwegian Sea
5,Labrador Sea
159,Celebes Sea
86,Yellow Sea
458,Aegean Sea
747,Sulu Sea
603,Tyrrhenian Sea
479,Southern Ocean
84,Philippine Sea
992,Adriatic Sea
224,Java Sea
610,Sea of Japan
377,Norwegian Sea
825,Labrador Sea
860,Yellow Sea
470,Red Sea
888,Coral Sea
627,Adriatic Sea
486,Barents Sea
804,Java Sea
397,Tasman Sea
436,Gulf of Alaska
393,Sea of Japan
647,East China Sea
466,Ryukyu Sea
379,Ligurian Sea
111,Chilean Sea
291,Banda Sea
287,Aegean Sea
608,Arabian Sea
350,Celebes Sea
705,Baltic Sea
342,Yellow Sea
636,South China Sea
65,Tyrrhenian Sea
186,Caspian Sea
472,Java Sea
56,Tyrrhenian Sea
434,Labrador Sea
955,Mediterranean Sea
624,Sea of Japan
444,Adriatic Sea
912,Tasman Sea
338,Coral Sea
306,Philippine Sea
878,Ligurian Sea
158,Yellow Sea
673,Gulf of Alaska
207,Ligurian Sea
72,Baltic Sea
923,Gulf of Alaska
376,Gulf of St Lawrence
844,Gulf of Alaska
23,Baltic Sea
334,Celebes Sea
171,Barents Sea
45,Labrador Sea
665,Sea of Japan
448,Banda Sea
69,Ryukyu Sea
132,Sulu Sea
621,Yellow Sea
604,Southern Ocean
556,Philippine Sea
355,Gulf of Alaska
707,Gulf of Alaska
460,East China Sea
971,Java Sea
708,Caspian Sea
722,Southern Ocean
428,Ryukyu Sea
580,Mediterranean Sea
595,Tyrrhenian Sea
133,Greenland Sea
559,Andaman Sea
229,Barents Sea
493,Ryukyu Sea
440,Caribbean Sea
562,Gulf of Mexico
2,Red Sea
605,Ligurian Sea
46,Greenland Sea
502,Baltic Sea
644,Tyrrhenian Sea
879,Ryukyu Sea
311,Chilean Sea
63,Adriatic Sea
534,Tasman Sea
89,Coral Sea
90,Greenland Sea
172,Arabian Sea
238,Bering Sea
616,Yellow Sea
726,Adriatic Sea
965,South China Sea
431,Aegean Sea
568,Bering Sea
337,Chilean Sea
453,Ligurian Sea
10,Ryukyu Sea
165,Chilean Sea
651,Banda Sea
94,South China Sea
740,Sulu Sea
545,Gulf of Mexico
313,Sea of Japan
34,Caribbean Sea
800,Gulf of Alaska
308,Sulu Sea
323,Philippine Sea
225,Sea of Japan
384,Andaman Sea
380,Caribbean Sea
873,Gulf of Mexico
336,Aegean Sea
67,Ryukyu Sea
226,Arabian Sea
635,East China Sea
266,Gulf of St Lawrence
932,Bering Sea
234,Barents Sea
827,Caspian Sea
885,Caribbean Sea
422,Gulf of Mexico
87,Gulf of Alaska
439,Gulf of Mexico
759,Tyrrhenian Sea
30,Gulf of Mexico
289,Gulf of Alaska
770,Ligurian Sea
566,Chilean Sea
124,Adriatic Sea
557,Java Sea
492,Mediterranean Sea
680,Tasman Sea
60,Sulu Sea
564,Chilean Sea
760,Sea of Japan
135,Sea of Japan
742,Java Sea
795,Sea of Japan
620,Yellow Sea
41,Andaman Sea
969,Sea of Japan
720,Chilean Sea
979,Sulu Sea
964,Yellow Sea
245,Sea of Japan
596,Celebes Sea
170,Mediterranean Sea
672,Sea of Japan
474,Labrador Sea
579,Arabian Sea
666,Aegean Sea
850,Java Sea
353,Andaman Sea
22,Southern Ocean
798,Gulf of Alaska
820,Chilean Sea
691,Arabian Sea
501,Andaman Sea
498,Banda Sea
151,Banda Sea
853,Coral Sea
73,Celebes Sea
59,Sulu Sea
14,Labrador Sea
239,Greenland Sea
438,Mediterranean Sea
650,South China Sea
420,Tasman Sea
451,Mediterranean Sea
177,East China Sea
50,Southern Ocean
4,Bering Sea
518,Java Sea
156,Baltic Sea
517,Black Sea
982,Caspian Sea
607,Andaman Sea
572,Barents Sea
490,Sulu Sea
77,Philippine Sea
890,Tasman Sea
952,Ligurian Sea
949,Red Sea
813,Barents Sea
711,Mediterranean Sea
629,Caribbean Sea
941,Arabian Sea
796,East China Sea
544,Bering Sea
190,Sulu Sea
823,Black Sea
974,Celebes Sea
7,Baltic Sea
856,Chilean Sea
382,Chilean Sea
768,Aegean Sea
210,Southern Ocean
532,East China Sea
684,Sulu Sea
339,Celebes Sea
997,South China Sea
174,Banda Sea
216,Coral Sea
481,Labrador Sea
675,Arabian Sea
31,South China Sea
861,Bering Sea
834,East China Sea
862,Celebes Sea
120,Red Sea
394,Sulu Sea
614,Yellow Sea
819,Barents Sea
247,Philippine Sea
583,Greenland Sea
762,Adriatic Sea
984,Arabian Sea
203,Ryukyu Sea
281,Banda Sea
38,Ryukyu Sea
978,Arabian Sea
753,Norwegian Sea
809,Philippine Sea
407,Banda Sea
943,Black Sea
443,Red Sea
946,Adriatic Sea
288,East China Sea
756,Caribbean Sea
298,Java Sea
864,Chilean Sea
701,Labrador Sea
601,Mediterranean Sea
750,Adriatic Sea
777,Ligurian Sea
271,Red Sea
905,Black Sea
356,Aegean Sea
129,Sulu Sea
504,Caspian Sea
142,Coral Sea
162,Andaman Sea
93,Arabian Sea
574,Aegean Sea
706,Philippine Sea
82,Black Sea
18,Tyrrhenian Sea
11,Ryukyu Sea
208,Yellow Sea
606,Black Sea
732,Greenland Sea
832,Labrador Sea
548,Sea of Japan
279,Tyrrhenian Sea
897,Norwegian Sea
516,Norwegian Sea
261,Philippine Sea
35,Bering Sea
881,Norwegian Sea
729,Gulf of Mexico
998,Celebes Sea
343,Celebes Sea
547,Black Sea
88,Mediterranean Sea
836,Mediterranean Sea
523,Ligurian Sea
100,South China Sea
696,Coral Sea
723,Coral Sea
204,Gulf of Mexico
594,Arabian Sea
683,Adriatic Sea
968,Gulf of Alaska
332,Java Sea
445,Norwegian Sea
134,Baltic Sea
537,Norwegian Sea
42,Red Sea
980,Sea of Japan
352,Greenland Sea
184,Java Sea
511,Philippine Sea
328,Yellow Sea
283,Mediterranean Sea
592,Ligurian Sea
743,Tyrrhenian Sea
410,South China Sea
398,Tasman Sea
430,Norwegian Sea
655,Banda Sea
808,Barents Sea
889,Black Sea
877,Red Sea
385,Aegean Sea
868,Tasman Sea
690,Tasman Sea
364,Banda Sea
716,Chilean Sea
991,Caspian Sea
257,Bering Sea
232,Barents Sea
432,Chilean Sea
661,Bering Sea
424,Black Sea
715,Chilean Sea
702,Caribbean Sea
554,Tyrrhenian Sea
894,Ryukyu Sea
985,Baltic Sea
685,Sulu Sea
265,Labrador Sea
28,Celebes Sea
821,Ryukyu Sea
188,Ryukyu Sea
461,Chilean Sea
679,Gulf of St Lawrence
783,Barents Sea
6,Black Sea
558,Chilean Sea
776,Aegean Sea
117,East China Sea
933,Black Sea
686,Baltic Sea
331,Coral Sea
677,Chilean Sea
535,Greenland Sea
549,Norwegian Sea
366,Ryukyu Sea
293,Philippine Sea
423,Mediterranean Sea
727,Barents Sea
727,Bering Sea
986,Banda Sea
456,Adriatic Sea
